original_Store name,original_Address,original_City,original_State,original_Petition File Date (from Store Name),original_NLRB Case Number(s),original_Store Status,original_Vote Count Date,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Whitehall, MacArthur Road","2630 MacArthur Rd Suite 100, Whitehall, PA, 18052",Whitehall,PA,"10/30/2022, 8:00:00 PM",04-RC-306257,Union Win,"12/1/2022, 7:00:00 PM",40.645588450000005,-75.49426924345494,"Starbucks, 2630 MacArthur Road, Whitehall, PA 18052, United States of America",Starbucks,2630,MacArthur Road,,,18052,Whitehall,Lehigh County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Willow & Pfingsten,"2760 Willow Rd , Glenview, IL, 60062",Glenview,IL,"10/23/2022, 8:00:00 PM",13-RC-305812,Union Win,"12/5/2022, 7:00:00 PM",42.105785868313205,-87.84654397950874,"2760 Willow Road, Glenview, IL 60062, United States of America",,2760,Willow Road,,,60062,Glenview,Cook County,Illinois,IL,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
S. Sammish Way & 36th St,"222 36th Street , Bellingham, WA, 98225",Bellingham,WA,"10/16/2022, 8:00:00 PM",19-RC-305402,Union Win,"11/30/2022, 7:00:00 PM",48.731202,-122.471219,"222 36th Street, Bellingham, WA 98225, United States of America",,222,36th Street,,,98225,Bellingham,Whatcom County,Washington,WA,United States,us,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
Auto Plaza Way & Main St,"2230 Main Street , Green Bay, WI, 54302",Green Bay,WI,"10/9/2022, 8:00:00 PM",18-RC-304934,Union Win,"11/28/2022, 7:00:00 PM",44.48381203571429,-87.97070396428572,"2230 Main Street, Green Bay, WI 54302, United States of America",,2230,Main Street,,,54302,Green Bay,Brown County,Wisconsin,WI,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wedington and N Salem,"3500 Black Forrest Drive 1, Fayetteville, AR, 72704",Fayetteville,AR,"10/5/2022, 8:00:00 PM",15-RC-304743,Union Win,"11/13/2022, 7:00:00 PM",36.078206,-94.210263,"3500 West Black Forest Drive, Fayetteville, AR 72704, United States of America",,3500,West Black Forest Drive,,,72704,Fayetteville,Washington County,Arkansas,AR,United States,us,0.9,1,0.9,© OpenAddresses contributors,BSD-3-Clause License,
Broad & Spring Garden,"490 North Broad St. , Philadelphia, PA, 19123",Philadelphia,PA,"9/29/2022, 8:00:00 PM",04-RC-304399,Union Win,"11/3/2022, 8:00:00 PM",39.9612803,-75.1614807,"490 North Broad Street, Philadelphia, PA 19123, United States of America",,490,North Broad Street,,Center City,19123,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Courthouse Arlington,"2200 Clarendon Blvd , Arlington, VA, 22201",Arlington,VA,"9/28/2022, 8:00:00 PM",05-RC-304319,Union Win,"11/7/2022, 7:00:00 PM",38.8905063,-77.0857936,"2200 Clarendon Boulevard, Arlington, VA 22201, United States of America",,2200,Clarendon Boulevard,,Courthouse,22201,Arlington,Arlington County,Virginia,VA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
York & Industrial,"624 N. York Road Unit A, Elmhurst, IL, 60126",Elmhurst,IL,"9/21/2022, 8:00:00 PM",13-RC-303877,Union Win,"12/4/2022, 7:00:00 PM",41.90006,-87.939697,"105 North York Road, Elmhurst, IL 60126, United States of America",,105,North York Road,York Township,,60126,Elmhurst,DuPage County,Illinois,IL,United States,us,0.5,1,1,© OpenAddresses contributors,BSD-3-Clause License,
1604 & NW Military,"16852 NW Military Hwy , Shavano Park, TX, 78231",Shavano Park,TX,"9/20/2022, 8:00:00 PM",16-RC-303916,Union Win,"11/3/2022, 8:00:00 PM",29.599007450000002,-98.56274345,"Starbucks, 16852 Northwest Military Highway, Shavano Park, TX 78231, United States of America",Starbucks,16852,Northwest Military Highway,,,78231,Shavano Park,Bexar County,Texas,TX,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1144 Elliott Ave W - Seattle,"1144 Elliott Avenue West , Seattle, WA, 98119",Seattle,WA,"9/18/2022, 8:00:00 PM",19-RC-303680,Union Win,"11/16/2022, 7:00:00 PM",47.6298518,-122.37204827878568,"Starbucks, 1144 Elliott Avenue West, Seattle, WA 98119, United States of America",Starbucks,1144,Elliott Avenue West,,Queen Anne,98119,Seattle,King County,Washington,WA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
